time	V(quada)	V(quadb)
4.599371681552477e-07	-2.883051e+01	2.877136e+01
4.600482744202390e-07	-2.879332e+01	2.873392e+01
4.602009111356133e-07	-2.874195e+01	2.868220e+01
4.603744325512843e-07	-2.868318e+01	2.862301e+01
4.606140076977056e-07	-2.860138e+01	2.854065e+01
4.608666476139458e-07	-2.851420e+01	2.845287e+01
4.613004836073662e-07	-2.836249e+01	2.830010e+01
4.617453871570525e-07	-2.820411e+01	2.814065e+01
4.624536476416169e-07	-2.794732e+01	2.788213e+01
4.627972920938914e-07	-2.782075e+01	2.775473e+01
4.629916599849389e-07	-2.774827e+01	2.768180e+01
4.631043615629531e-07	-2.770597e+01	2.763924e+01
4.631997463063201e-07	-2.767002e+01	2.760308e+01
4.632955777584769e-07	-2.763379e+01	2.756663e+01
4.633830710485006e-07	-2.760060e+01	2.753325e+01
4.634863633598090e-07	-2.756128e+01	2.749370e+01
4.636412138680454e-07	-2.750209e+01	2.743417e+01
4.637902624191152e-07	-2.744484e+01	2.737659e+01
4.640016848528947e-07	-2.736315e+01	2.729444e+01
4.642260333356237e-07	-2.727580e+01	2.720660e+01
4.645993512087089e-07	-2.712913e+01	2.705912e+01
4.649578187318973e-07	-2.698647e+01	2.691568e+01
4.656747537782740e-07	-2.669615e+01	2.662382e+01
4.665377220912647e-07	-2.633725e+01	2.626308e+01
4.682636587172461e-07	-2.559153e+01	2.551373e+01
4.704411595593464e-07	-2.460545e+01	2.452318e+01
4.728577859994451e-07	-2.344992e+01	2.336283e+01
4.754941550095778e-07	-2.211654e+01	2.202437e+01
4.783427139678948e-07	-2.059616e+01	2.049871e+01
4.810343668853931e-07	-1.908527e+01	1.898305e+01
4.837474289420309e-07	-1.749084e+01	1.738404e+01
4.863902604843322e-07	-1.587238e+01	1.576135e+01
4.890979493402618e-07	-1.415104e+01	1.403592e+01
4.917627895738710e-07	-1.239847e+01	1.227957e+01
4.944701510308242e-07	-1.055879e+01	1.043632e+01
4.978793832703364e-07	-8.166681e+00	8.040110e+00
5.018147911549625e-07	-5.312417e+00	5.181677e+00
5.070843506502695e-07	-1.357526e+00	1.222194e+00
5.139462995226638e-07	3.961965e+00	-4.101489e+00
5.242160768451619e-07	1.208138e+01	-1.222308e+01
5.415482445101223e-07	2.582814e+01	-2.596739e+01
5.422543929593116e-07	2.638228e+01	-2.652122e+01
5.436666898576903e-07	2.747506e+01	-2.761307e+01
5.464912836544475e-07	2.963130e+01	-2.976718e+01
5.513555122754625e-07	3.322540e+01	-3.335678e+01
5.610839695174924e-07	3.999933e+01	-4.011940e+01
5.709580000000000e-07	4.645267e+01	-4.655924e+01
5.719454030482507e-07	4.702880e+01	-4.713374e+01
5.739202091447523e-07	4.815316e+01	-4.825479e+01
5.778698213377554e-07	5.029944e+01	-5.039416e+01
5.819002762268763e-07	5.231442e+01	-5.240167e+01
5.888179999999999e-07	5.549998e+01	-5.557383e+01
5.895097723773123e-07	5.577727e+01	-5.584969e+01
5.908933171319371e-07	5.631506e+01	-5.638461e+01
5.944771790184989e-07	5.763605e+01	-5.769807e+01
5.947271790184989e-07	5.772169e+01	-5.778318e+01
5.951327071374440e-07	5.785967e+01	-5.792029e+01
5.951560514126549e-07	5.786757e+01	-5.792813e+01
5.951618874814576e-07	5.786953e+01	-5.793009e+01
5.951735596190631e-07	5.787346e+01	-5.793399e+01
5.951969038942740e-07	5.788132e+01	-5.794180e+01
5.952435924446958e-07	5.789700e+01	-5.795738e+01
5.952952396888987e-07	5.791433e+01	-5.797459e+01
5.953611043129954e-07	5.793638e+01	-5.799651e+01
5.954027682647492e-07	5.795031e+01	-5.801034e+01
5.954348782845073e-07	5.796102e+01	-5.802099e+01
5.954668578382854e-07	5.797168e+01	-5.803158e+01
5.955147687144182e-07	5.798762e+01	-5.804742e+01
5.955761467788035e-07	5.800800e+01	-5.806767e+01
